Subject	trialNumber	pumped	result	pop_value	total	explosion
100	1	110	Win	68	128	0
100	2	115	Win	104	128	0
100	3	120	Win	36	128	0
100	4	125	Win	93	128	0
100	5	100	Win	83	128	0
100	6	95	Pop	20	128	1
100	7	100	Win	123	128	0
100	8	99	Pop	14	128	1
100	9	100	Win	64	128	0
100	10	40	Pop	31	128	1
100	11	100	Win	64	128	0
100	12	100	Win	99	128	0
100	13	100	Pop	27	128	1
100	14	115	Win	37	128	0
100	15	112	Win	42	128	0
100	16	113	Win	119	128	0
100	17	111	Win	64	128	0
100	18	111	Win	94	128	0
100	19	111	Win	76	128	0
100	20	111	Pop	13	128	1
100	21	113	Win	64	128	0
100	22	112	Win	110	128	0
100	23	112	Win	35	128	0
100	24	113	Win	85	128	0
100	25	113	Pop	10	128	1
100	26	115	Win	64	128	0
100	27	114	Win	89	128	0
100	28	114	Win	18	128	0
100	29	115	Win	117	128	0
100	30	115	Win	57	128	0
101	1	80	Win	68	128	0
101	2	50	Win	104	128	0
101	3	80	Pop	36	128	1
101	4	50	Win	93	128	0
101	5	90	Win	83	128	0
101	6	80	Pop	20	128	1
101	7	20	Win	123	128	0
101	8	70	Pop	14	128	1
101	9	25	Pop	64	128	1
101	10	60	Pop	31	128	1
101	11	30	Pop	64	128	1
101	12	90	Win	99	128	0
101	13	80	Pop	27	128	1
101	14	20	Pop	37	128	1
101	15	20	Pop	42	128	1
101	16	20	Win	119	128	0
101	17	70	Win	64	128	0
101	18	80	Win	94	128	0
101	19	80	Win	76	128	0
101	20	50	Pop	13	128	1
101	21	15	Pop	64	128	1
101	22	15	Pop	110	128	1
101	23	90	Pop	35	128	1
101	24	15	Pop	85	128	1
101	25	80	Pop	10	128	1
101	26	10	Pop	64	128	1
101	27	10	Pop	89	128	1
101	28	10	Pop	18	128	1
101	29	10	Pop	117	128	1
101	30	70	Pop	57	128	1
