"subjID"	"trial"	"pumped"	"explosion"
1	1	50	1
1	2	30	1
1	3	61	1
1	4	38	1
1	5	64	0
1	6	37	1
1	7	67	1
1	8	31	0
1	9	12	1
1	10	124	0
1	11	12	1
1	12	5	1
1	13	103	0
1	14	89	0
1	15	120	0
1	16	63	1
1	17	57	0
1	18	42	1
1	19	21	1
1	20	107	0
1	21	59	1
1	22	85	0
1	23	91	0
1	24	36	1
1	25	82	0
1	26	1	1
1	27	125	0
1	28	6	1
1	29	1	1
1	30	26	1
2	1	92	1
2	2	49	1
2	3	4	1
2	4	65	0
2	5	49	1
2	6	47	1
2	7	87	0
2	8	55	0
2	9	40	1
2	10	19	1
2	11	28	1
2	12	17	1
2	13	26	1
2	14	23	1
2	15	126	0
2	16	8	1
2	17	4	1
2	18	83	0
2	19	28	1
2	20	38	1
2	21	3	1
2	22	71	1
2	23	2	1
2	24	85	0
2	25	58	1
2	26	28	1
2	27	14	1
2	28	29	1
2	29	5	1
2	30	41	1
3	1	13	1
3	2	76	0
3	3	80	0
3	4	80	0
3	5	30	1
3	6	77	0
3	7	64	1
3	8	88	0
3	9	95	0
3	10	12	1
3	11	41	1
3	12	75	0
3	13	97	0
3	14	102	0
3	15	125	0
3	16	5	1
3	17	110	0
3	18	119	0
3	19	3	1
3	20	78	0
3	21	35	1
3	22	106	0
3	23	87	0
3	24	68	1
3	25	15	1
3	26	99	0
3	27	58	0
3	28	72	0
3	29	104	0
3	30	123	0
4	1	13	1
4	2	100	0
4	3	75	0
4	4	118	0
4	5	50	1
4	6	16	1
4	7	86	0
4	8	24	1
4	9	40	1
4	10	74	1
4	11	56	1
4	12	126	0
4	13	113	0
4	14	94	0
4	15	39	1
4	16	87	0
4	17	9	1
4	18	28	1
4	19	90	0
4	20	96	0
4	21	75	1
4	22	90	0
4	23	45	1
4	24	52	1
4	25	83	1
4	26	105	0
4	27	93	0
4	28	74	0
4	29	105	0
4	30	101	0
5	1	5	1
5	2	101	0
5	3	117	0
5	4	61	0
5	5	110	0
5	6	56	0
5	7	122	0
5	8	125	0
5	9	107	0
5	10	63	0
5	11	81	0
5	12	43	1
5	13	4	1
5	14	121	0
5	15	96	0
5	16	70	1
5	17	47	1
5	18	104	0
5	19	122	0
5	20	28	1
5	21	101	1
5	22	3	1
5	23	71	0
5	24	26	1
5	25	79	1
5	26	7	1
5	27	100	0
5	28	99	0
5	29	119	0
5	30	89	0
6	1	22	1
6	2	104	0
6	3	60	0
6	4	43	1
6	5	23	1
6	6	38	1
6	7	23	1
6	8	38	1
6	9	95	0
6	10	28	1
6	11	2	1
6	12	50	1
6	13	52	1
6	14	11	1
6	15	53	0
6	16	8	1
6	17	19	1
6	18	105	0
6	19	97	0
6	20	106	0
6	21	31	1
6	22	38	1
6	23	71	0
6	24	105	0
6	25	70	0
6	26	24	1
6	27	114	0
6	28	19	1
6	29	109	0
6	30	69	1
7	1	76	1
7	2	72	1
7	3	61	1
7	4	48	1
7	5	102	0
7	6	110	0
7	7	124	0
7	8	9	1
7	9	23	1
7	10	110	0
7	11	28	1
7	12	49	1
7	13	83	1
7	14	13	1
7	15	91	0
7	16	93	0
7	17	83	1
7	18	67	1
7	19	78	0
7	20	66	0
7	21	95	0
7	22	73	0
7	23	49	1
7	24	32	1
7	25	27	1
7	26	2	1
7	27	13	1
7	28	74	1
7	29	75	0
7	30	62	1
8	1	19	1
8	2	113	0
8	3	109	0
8	4	71	0
8	5	95	0
8	6	113	0
8	7	26	1
8	8	124	0
8	9	118	0
8	10	26	1
8	11	43	1
8	12	16	1
8	13	31	0
8	14	115	0
8	15	47	1
8	16	24	1
8	17	60	0
8	18	68	1
8	19	27	1
8	20	112	0
8	21	101	0
8	22	42	0
8	23	124	0
8	24	63	0
8	25	18	1
8	26	10	1
8	27	46	1
8	28	48	1
8	29	73	1
8	30	45	1
9	1	33	0
9	2	5	1
9	3	121	0
9	4	115	0
9	5	46	1
9	6	74	0
9	7	20	1
9	8	47	0
9	9	16	1
9	10	54	1
9	11	46	1
9	12	56	0
9	13	38	1
9	14	91	0
9	15	111	0
9	16	47	0
9	17	102	0
9	18	40	1
9	19	99	0
9	20	60	0
9	21	10	1
9	22	91	0
9	23	19	1
9	24	48	1
9	25	120	0
9	26	77	1
9	27	76	0
9	28	76	0
9	29	3	1
9	30	116	0
10	1	105	0
10	2	40	1
10	3	41	1
10	4	67	0
10	5	83	0
10	6	108	0
10	7	47	1
10	8	2	1
10	9	110	0
10	10	75	1
10	11	27	1
10	12	122	0
10	13	64	0
10	14	11	1
10	15	92	0
10	16	45	1
10	17	62	1
10	18	33	0
10	19	24	1
10	20	37	1
10	21	22	1
10	22	33	1
10	23	14	1
10	24	19	1
10	25	122	0
10	26	54	1
10	27	12	1
10	28	74	0
10	29	12	1
10	30	116	0
