"subjID"	"trial"	"pumped"	"explosion"
1	1	43	1
1	2	53	1
1	3	85	0
1	4	77	0
1	5	37	1
1	6	54	1
1	7	51	1
1	8	60	1
1	9	88	0
1	10	65	1
1	11	66	0
1	12	81	0
1	13	91	0
1	14	13	1
1	15	84	0
1	16	47	1
1	17	54	0
1	18	66	0
1	19	48	1
1	20	37	1
1	21	67	0
1	22	72	0
1	23	98	1
1	24	52	1
1	25	76	0
1	26	71	1
1	27	62	1
1	28	97	0
1	29	63	1
1	30	56	1
2	1	50	1
2	2	87	1
2	3	64	1
2	4	55	1
2	5	88	0
2	6	46	1
2	7	96	0
2	8	51	1
2	9	120	0
2	10	68	0
2	11	76	0
2	12	15	1
2	13	59	1
2	14	81	0
2	15	103	0
2	16	41	1
2	17	65	0
2	18	51	1
2	19	98	0
2	20	92	0
2	21	80	0
2	22	64	0
2	23	50	0
2	24	60	0
2	25	73	0
2	26	94	0
2	27	55	0
2	28	92	1
2	29	68	0
2	30	37	0
3	1	78	0
3	2	80	0
3	3	42	1
3	4	48	1
3	5	97	0
3	6	22	1
3	7	76	0
3	8	79	0
3	9	82	0
3	10	82	0
3	11	81	1
3	12	40	1
3	13	42	1
3	14	76	0
3	15	82	0
3	16	104	0
3	17	71	0
3	18	67	1
3	19	57	1
3	20	47	0
3	21	66	0
3	22	91	0
3	23	87	0
3	24	61	1
3	25	78	0
3	26	60	0
3	27	69	0
3	28	89	1
3	29	87	0
3	30	71	1
4	1	70	0
4	2	74	0
4	3	85	0
4	4	37	1
4	5	94	0
4	6	48	1
4	7	36	1
4	8	71	0
4	9	90	0
4	10	78	0
4	11	53	0
4	12	43	1
4	13	66	0
4	14	59	0
4	15	80	0
4	16	66	0
4	17	90	1
4	18	107	0
4	19	58	0
4	20	70	0
4	21	49	1
4	22	43	1
4	23	50	0
4	24	80	0
4	25	61	1
4	26	49	1
4	27	102	0
4	28	86	0
4	29	74	0
4	30	71	0
5	1	75	0
5	2	89	0
5	3	44	1
5	4	93	0
5	5	47	1
5	6	58	1
5	7	57	1
5	8	49	1
5	9	63	0
5	10	46	0
5	11	42	1
5	12	63	0
5	13	62	0
5	14	68	0
5	15	76	1
5	16	55	1
5	17	63	1
5	18	41	1
5	19	60	1
5	20	90	1
5	21	67	1
5	22	61	0
5	23	74	0
5	24	59	0
5	25	103	0
5	26	65	0
5	27	88	1
5	28	86	0
5	29	87	0
5	30	67	1
6	1	95	0
6	2	69	1
6	3	73	1
6	4	93	1
6	5	75	0
6	6	97	0
6	7	72	1
6	8	84	0
6	9	62	1
6	10	91	0
6	11	44	0
6	12	65	0
6	13	48	1
6	14	67	0
6	15	70	1
6	16	29	1
6	17	87	0
6	18	64	1
6	19	46	1
6	20	64	0
6	21	67	0
6	22	57	1
6	23	64	1
6	24	83	0
6	25	104	0
6	26	85	0
6	27	45	1
6	28	89	0
6	29	67	0
6	30	48	0
7	1	73	0
7	2	74	1
7	3	63	1
7	4	60	1
7	5	42	1
7	6	98	0
7	7	63	1
7	8	37	1
7	9	59	0
7	10	65	1
7	11	92	0
7	12	71	1
7	13	37	1
7	14	68	1
7	15	90	0
7	16	77	0
7	17	15	1
7	18	59	0
7	19	61	1
7	20	80	1
7	21	58	0
7	22	60	0
7	23	101	0
7	24	62	1
7	25	73	0
7	26	37	1
7	27	40	1
7	28	54	1
7	29	74	1
7	30	77	0
8	1	32	1
8	2	92	0
8	3	103	0
8	4	61	0
8	5	41	0
8	6	54	1
8	7	29	1
8	8	77	1
8	9	113	0
8	10	80	0
8	11	42	1
8	12	91	0
8	13	55	1
8	14	84	0
8	15	59	1
8	16	65	0
8	17	56	1
8	18	61	0
8	19	83	0
8	20	73	1
8	21	74	1
8	22	83	1
8	23	70	1
8	24	68	1
8	25	53	0
8	26	68	1
8	27	71	1
8	28	24	1
8	29	75	1
8	30	106	0
9	1	101	0
9	2	74	1
9	3	71	1
9	4	93	0
9	5	59	0
9	6	68	0
9	7	80	0
9	8	40	1
9	9	54	0
9	10	58	1
9	11	76	0
9	12	92	0
9	13	75	0
9	14	69	0
9	15	43	1
9	16	60	1
9	17	71	0
9	18	31	1
9	19	87	0
9	20	68	1
9	21	78	0
9	22	75	0
9	23	58	1
9	24	38	1
9	25	69	0
9	26	76	0
9	27	66	0
9	28	49	1
9	29	77	0
9	30	79	0
10	1	53	1
10	2	43	1
10	3	55	1
10	4	53	1
10	5	90	0
10	6	52	1
10	7	58	1
10	8	66	1
10	9	85	0
10	10	51	1
10	11	84	0
10	12	75	1
10	13	65	0
10	14	29	1
10	15	41	1
10	16	70	0
10	17	81	0
10	18	71	0
10	19	95	0
10	20	73	0
10	21	73	0
10	22	62	1
10	23	87	0
10	24	66	1
10	25	34	1
10	26	60	0
10	27	61	1
10	28	68	0
10	29	50	1
10	30	58	1
