Subject	trialNumber	pumped	result	pop_value	total	explosion
100	1	110	Win	68	128	0
100	2	115	Win	104	128	0
100	3	120	Win	36	128	0
100	4	125	Win	93	128	0
100	5	100	Win	83	128	0
100	6	95	Pop	20	128	1
100	7	100	Win	123	128	0
100	8	99	Pop	14	128	1
100	9	100	Win	64	128	0
100	10	40	Pop	31	128	1
100	11	100	Win	64	128	0
100	12	100	Win	99	128	0
100	13	100	Pop	27	128	1
100	14	115	Win	37	128	0
100	15	112	Win	42	128	0
100	16	113	Win	119	128	0
100	17	111	Win	64	128	0
100	18	111	Win	94	128	0
100	19	111	Win	76	128	0
100	20	111	Pop	13	128	1
100	21	113	Win	64	128	0
100	22	112	Win	110	128	0
100	23	112	Win	35	128	0
100	24	113	Win	85	128	0
100	25	113	Pop	10	128	1
100	26	115	Win	64	128	0
100	27	114	Win	89	128	0
100	28	114	Win	18	128	0
100	29	115	Win	117	128	0
100	30	115	Win	57	128	0
101	1	80	Win	68	128	0
101	2	50	Win	104	128	0
101	3	80	Pop	36	128	1
101	4	50	Win	93	128	0
101	5	90	Win	83	128	0
101	6	80	Pop	20	128	1
101	7	20	Win	123	128	0
101	8	70	Pop	14	128	1
101	9	25	Pop	64	128	1
101	10	60	Pop	31	128	1
101	11	30	Pop	64	128	1
101	12	90	Win	99	128	0
101	13	80	Pop	27	128	1
101	14	20	Pop	37	128	1
101	15	20	Pop	42	128	1
101	16	20	Win	119	128	0
101	17	70	Win	64	128	0
101	18	80	Win	94	128	0
101	19	80	Win	76	128	0
101	20	50	Pop	13	128	1
101	21	15	Pop	64	128	1
101	22	15	Pop	110	128	1
101	23	90	Pop	35	128	1
101	24	15	Pop	85	128	1
101	25	80	Pop	10	128	1
101	26	10	Pop	64	128	1
101	27	10	Pop	89	128	1
101	28	10	Pop	18	128	1
101	29	10	Pop	117	128	1
101	30	70	Pop	57	128	1
102	1	60	Win	68	128	0
102	2	62	Win	104	128	0
102	3	60	Pop	36	128	1
102	4	60	Win	93	128	0
102	5	60	Win	83	128	0
102	6	70	Pop	20	128	1
102	7	50	Win	123	128	0
102	8	50	Pop	14	128	1
102	9	50	Pop	64	128	1
102	10	60	Pop	31	128	1
102	11	70	Win	64	128	0
102	12	65	Win	99	128	0
102	13	65	Pop	27	128	1
102	14	65	Pop	37	128	1
102	15	65	Pop	42	128	1
102	16	65	Win	119	128	0
102	17	65	Win	64	128	0
102	18	70	Win	94	128	0
102	19	50	Pop	76	128	1
102	20	65	Pop	13	128	1
102	21	60	Pop	64	128	1
102	22	65	Win	110	128	0
102	23	65	Pop	35	128	1
102	24	65	Win	85	128	0
102	25	65	Pop	10	128	1
102	26	65	Win	64	128	0
102	27	65	Win	89	128	0
102	28	65	Pop	18	128	1
102	29	65	Win	117	128	0
102	30	65	Pop	57	128	1
103	1	40	Pop	68	128	1
103	2	45	Win	104	128	0
103	3	45	Pop	36	128	1
103	4	50	Win	93	128	0
103	5	50	Win	83	128	0
103	6	50	Pop	20	128	1
103	7	50	Win	123	128	0
103	8	50	Pop	14	128	1
103	9	55	Pop	64	128	1
103	10	55	Pop	31	128	1
103	11	60	Pop	64	128	1
103	12	60	Win	99	128	0
103	13	65	Pop	27	128	1
103	14	65	Pop	37	128	1
103	15	70	Pop	42	128	1
103	16	70	Win	119	128	0
103	17	70	Win	64	128	0
103	18	70	Win	94	128	0
103	19	70	Win	76	128	0
103	20	70	Pop	13	128	1
103	21	70	Win	64	128	0
103	22	70	Win	110	128	0
103	23	70	Pop	35	128	1
103	24	70	Win	85	128	0
103	25	70	Pop	10	128	1
103	26	70	Win	64	128	0
103	27	70	Win	89	128	0
103	28	70	Pop	18	128	1
103	29	70	Win	117	128	0
103	30	70	Pop	57	128	1
104	1	76	Win	68	128	0
104	2	36	Win	104	128	0
104	3	58	Pop	36	128	1
104	4	67	Win	93	128	0
104	5	58	Win	83	128	0
104	6	54	Pop	20	128	1
104	7	87	Win	123	128	0
104	8	53	Pop	14	128	1
104	9	79	Win	64	128	0
104	10	58	Pop	31	128	1
104	11	78	Win	64	128	0
104	12	72	Win	99	128	0
104	13	67	Pop	27	128	1
104	14	99	Win	37	128	0
104	15	78	Pop	42	128	1
104	16	39	Win	119	128	0
104	17	61	Pop	64	128	1
104	18	123	Win	94	128	0
104	19	10	Pop	76	128	1
104	20	70	Pop	13	128	1
104	21	65	Win	64	128	0
104	22	70	Win	110	128	0
104	23	53	Pop	35	128	1
104	24	68	Win	85	128	0
104	25	67	Pop	10	128	1
104	26	86	Win	64	128	0
104	27	68	Win	89	128	0
104	28	36	Pop	18	128	1
104	29	78	Win	117	128	0
104	30	29	Pop	57	128	1
105	1	10	Pop	68	128	1
105	2	90	Win	104	128	0
105	3	72	Pop	36	128	1
105	4	81	Win	93	128	0
105	5	77	Win	83	128	0
105	6	75	Pop	20	128	1
105	7	50	Win	123	128	0
105	8	73	Pop	14	128	1
105	9	71	Win	64	128	0
105	10	63	Pop	31	128	1
105	11	90	Win	64	128	0
105	12	42	Win	99	128	0
105	13	37	Pop	27	128	1
105	14	38	Pop	37	128	1
105	15	54	Pop	42	128	1
105	16	63	Win	119	128	0
105	17	78	Win	64	128	0
105	18	20	Pop	94	128	1
105	19	8	Pop	76	128	1
105	20	21	Pop	13	128	1
105	21	43	Pop	64	128	1
105	22	82	Win	110	128	0
105	23	72	Pop	35	128	1
105	24	75	Win	85	128	0
105	25	65	Pop	10	128	1
105	26	64	Win	64	128	0
105	27	14	Pop	89	128	1
105	28	71	Pop	18	128	1
105	29	64	Win	117	128	0
105	30	64	Pop	57	128	1
106	1	40	Pop	68	128	1
106	2	40	Win	104	128	0
106	3	30	Pop	36	128	1
106	4	50	Win	93	128	0
106	5	50	Win	83	128	0
106	6	60	Pop	20	128	1
106	7	50	Win	123	128	0
106	8	50	Pop	14	128	1
106	9	30	Pop	64	128	1
106	10	30	Pop	31	128	1
106	11	30	Pop	64	128	1
106	12	40	Win	99	128	0
106	13	50	Pop	27	128	1
106	14	40	Pop	37	128	1
106	15	40	Pop	42	128	1
106	16	50	Win	119	128	0
106	17	40	Pop	64	128	1
106	18	50	Win	94	128	0
106	19	50	Pop	76	128	1
106	20	50	Pop	13	128	1
106	21	50	Pop	64	128	1
106	22	40	Win	110	128	0
106	23	40	Pop	35	128	1
106	24	20	Pop	85	128	1
106	25	20	Pop	10	128	1
106	26	30	Pop	64	128	1
106	27	30	Pop	89	128	1
106	28	30	Pop	18	128	1
106	29	5	Pop	117	128	1
106	30	50	Pop	57	128	1
107	1	88	Win	68	128	0
107	2	100	Win	104	128	0
107	3	67	Pop	36	128	1
107	4	54	Win	93	128	0
107	5	54	Win	83	128	0
107	6	54	Pop	20	128	1
107	7	90	Win	123	128	0
107	8	127	Win	14	128	0
107	9	54	Pop	64	128	1
107	10	65	Pop	31	128	1
107	11	111	Win	64	128	0
107	12	90	Win	99	128	0
107	13	76	Pop	27	128	1
107	14	99	Win	37	128	0
107	15	55	Pop	42	128	1
107	16	55	Win	119	128	0
107	17	55	Pop	64	128	1
107	18	55	Win	94	128	0
107	19	55	Win	76	128	0
107	20	88	Pop	13	128	1
107	21	88	Win	64	128	0
107	22	126	Win	110	128	0
107	23	55	Pop	35	128	1
107	24	55	Win	85	128	0
107	25	99	Pop	10	128	1
107	26	99	Win	64	128	0
107	27	32	Pop	89	128	1
107	28	111	Win	18	128	0
107	29	127	Win	117	128	0
107	30	88	Win	57	128	0
108	1	64	Win	68	128	0
108	2	64	Win	104	128	0
108	3	76	Pop	36	128	1
108	4	100	Win	93	128	0
108	5	70	Win	83	128	0
108	6	68	Pop	20	128	1
108	7	114	Win	123	128	0
108	8	15	Pop	14	128	1
108	9	44	Pop	64	128	1
108	10	50	Pop	31	128	1
108	11	111	Win	64	128	0
108	12	74	Win	99	128	0
108	13	44	Pop	27	128	1
108	14	111	Win	37	128	0
108	15	110	Win	42	128	0
108	16	100	Win	119	128	0
108	17	20	Pop	64	128	1
108	18	44	Win	94	128	0
108	19	44	Pop	76	128	1
108	20	70	Pop	13	128	1
108	21	122	Win	64	128	0
108	22	44	Win	110	128	0
108	23	44	Pop	35	128	1
108	24	100	Win	85	128	0
108	25	88	Pop	10	128	1
108	26	125	Win	64	128	0
108	27	44	Win	89	128	0
108	28	44	Pop	18	128	1
108	29	119	Win	117	128	0
108	30	55	Pop	57	128	1
109	1	60	Win	68	128	0
109	2	50	Win	104	128	0
109	3	50	Pop	36	128	1
109	4	40	Win	93	128	0
109	5	60	Win	83	128	0
109	6	50	Pop	20	128	1
109	7	50	Win	123	128	0
109	8	40	Pop	14	128	1
109	9	60	Pop	64	128	1
109	10	60	Pop	31	128	1
109	11	50	Pop	64	128	1
109	12	90	Win	99	128	0
109	13	50	Pop	27	128	1
109	14	50	Pop	37	128	1
109	15	80	Pop	42	128	1
109	16	70	Win	119	128	0
109	17	70	Win	64	128	0
109	18	60	Win	94	128	0
109	19	90	Win	76	128	0
109	20	70	Pop	13	128	1
109	21	40	Pop	64	128	1
109	22	60	Win	110	128	0
109	23	70	Pop	35	128	1
109	24	76	Win	85	128	0
109	25	60	Pop	10	128	1
109	26	76	Win	64	128	0
109	27	50	Win	89	128	0
109	28	80	Pop	18	128	1
109	29	90	Win	117	128	0
109	30	68	Pop	57	128	1
110	1	72	Win	68	128	0
110	2	89	Win	104	128	0
110	3	90	Pop	36	128	1
110	4	90	Win	93	128	0
110	5	65	Win	83	128	0
110	6	70	Pop	20	128	1
110	7	54	Win	123	128	0
110	8	81	Pop	14	128	1
110	9	65	Win	64	128	0
110	10	65	Pop	31	128	1
110	11	62	Pop	64	128	1
110	12	72	Win	99	128	0
110	13	72	Pop	27	128	1
110	14	62	Pop	37	128	1
110	15	62	Pop	42	128	1
110	16	65	Win	119	128	0
110	17	65	Win	64	128	0
110	18	65	Win	94	128	0
110	19	65	Win	76	128	0
110	20	65	Pop	13	128	1
110	21	65	Win	64	128	0
110	22	65	Win	110	128	0
110	23	72	Pop	35	128	1
110	24	110	Win	85	128	0
110	25	85	Pop	10	128	1
110	26	10	Pop	64	128	1
110	27	110	Win	89	128	0
110	28	110	Win	18	128	0
110	29	44	Win	117	128	0
110	30	44	Pop	57	128	1
111	1	30	Pop	68	128	1
111	2	55	Win	104	128	0
111	3	29	Pop	36	128	1
111	4	60	Win	93	128	0
111	5	58	Win	83	128	0
111	6	40	Pop	20	128	1
111	7	53	Win	123	128	0
111	8	33	Pop	14	128	1
111	9	43	Pop	64	128	1
111	10	60	Pop	31	128	1
111	11	76	Win	64	128	0
111	12	60	Win	99	128	0
111	13	43	Pop	27	128	1
111	14	55	Pop	37	128	1
111	15	80	Pop	42	128	1
111	16	60	Win	119	128	0
111	17	75	Win	64	128	0
111	18	75	Win	94	128	0
111	19	60	Win	76	128	0
111	20	50	Pop	13	128	1
111	21	60	Pop	64	128	1
111	22	75	Win	110	128	0
111	23	75	Pop	35	128	1
111	24	75	Win	85	128	0
111	25	75	Pop	10	128	1
111	26	75	Win	64	128	0
111	27	70	Win	89	128	0
111	28	65	Pop	18	128	1
111	29	75	Win	117	128	0
111	30	75	Win	57	128	0
112	1	67	Win	68	128	0
112	2	58	Win	104	128	0
112	3	86	Pop	36	128	1
112	4	83	Win	93	128	0
112	5	83	Win	83	128	0
112	6	83	Pop	20	128	1
112	7	62	Win	123	128	0
112	8	125	Win	14	128	0
112	9	83	Win	64	128	0
112	10	82	Pop	31	128	1
112	11	62	Pop	64	128	1
112	12	84	Win	99	128	0
112	13	73	Pop	27	128	1
112	14	52	Pop	37	128	1
112	15	89	Win	42	128	0
112	16	100	Win	119	128	0
112	17	72	Win	64	128	0
112	18	38	Win	94	128	0
112	19	69	Win	76	128	0
112	20	83	Pop	13	128	1
112	21	79	Win	64	128	0
112	22	94	Win	110	128	0
112	23	17	Pop	35	128	1
112	24	19	Pop	85	128	1
112	25	91	Pop	10	128	1
112	26	83	Win	64	128	0
112	27	37	Pop	89	128	1
112	28	69	Pop	18	128	1
112	29	84	Win	117	128	0
112	30	83	Win	57	128	0
113	1	90	Win	68	128	0
113	2	100	Win	104	128	0
113	3	89	Pop	36	128	1
113	4	90	Win	93	128	0
113	5	90	Win	83	128	0
113	6	90	Pop	20	128	1
113	7	100	Win	123	128	0
113	8	89	Pop	14	128	1
113	9	90	Win	64	128	0
113	10	100	Win	31	128	0
113	11	99	Win	64	128	0
113	12	100	Win	99	128	0
113	13	90	Pop	27	128	1
113	14	90	Pop	37	128	1
113	15	100	Win	42	128	0
113	16	100	Win	119	128	0
113	17	90	Win	64	128	0
113	18	10	Pop	94	128	1
113	19	90	Win	76	128	0
113	20	90	Pop	13	128	1
113	21	100	Win	64	128	0
113	22	101	Win	110	128	0
113	23	90	Pop	35	128	1
113	24	100	Win	85	128	0
113	25	109	Pop	10	128	1
113	26	101	Win	64	128	0
113	27	98	Win	89	128	0
113	28	99	Pop	18	128	1
113	29	101	Win	117	128	0
113	30	100	Win	57	128	0
114	1	60	Win	68	128	0
114	2	30	Win	104	128	0
114	3	40	Pop	36	128	1
114	4	50	Win	93	128	0
114	5	40	Pop	83	128	1
114	6	50	Pop	20	128	1
114	7	60	Win	123	128	0
114	8	50	Pop	14	128	1
114	9	50	Pop	64	128	1
114	10	40	Pop	31	128	1
114	11	60	Pop	64	128	1
114	12	70	Win	99	128	0
114	13	60	Pop	27	128	1
114	14	65	Pop	37	128	1
114	15	40	Pop	42	128	1
114	16	75	Win	119	128	0
114	17	70	Win	64	128	0
114	18	65	Win	94	128	0
114	19	60	Win	76	128	0
114	20	55	Pop	13	128	1
114	21	55	Pop	64	128	1
114	22	55	Win	110	128	0
114	23	65	Pop	35	128	1
114	24	55	Win	85	128	0
114	25	70	Pop	10	128	1
114	26	55	Pop	64	128	1
114	27	30	Pop	89	128	1
114	28	75	Pop	18	128	1
114	29	70	Win	117	128	0
114	30	75	Win	57	128	0
115	1	80	Win	68	128	0
115	2	100	Win	104	128	0
115	3	10	Pop	36	128	1
115	4	40	Win	93	128	0
115	5	80	Win	83	128	0
115	6	40	Pop	20	128	1
115	7	40	Win	123	128	0
115	8	40	Pop	14	128	1
115	9	40	Pop	64	128	1
115	10	50	Pop	31	128	1
115	11	60	Pop	64	128	1
115	12	80	Win	99	128	0
115	13	60	Pop	27	128	1
115	14	60	Pop	37	128	1
115	15	60	Pop	42	128	1
115	16	60	Win	119	128	0
115	17	70	Win	64	128	0
115	18	80	Win	94	128	0
115	19	80	Win	76	128	0
115	20	80	Pop	13	128	1
115	21	88	Win	64	128	0
115	22	88	Win	110	128	0
115	23	70	Pop	35	128	1
115	24	100	Win	85	128	0
115	25	55	Pop	10	128	1
115	26	55	Pop	64	128	1
115	27	88	Win	89	128	0
115	28	50	Pop	18	128	1
115	29	30	Win	117	128	0
115	30	100	Win	57	128	0
116	1	67	Win	68	128	0
116	2	69	Win	104	128	0
116	3	54	Pop	36	128	1
116	4	58	Win	93	128	0
116	5	60	Win	83	128	0
116	6	58	Pop	20	128	1
116	7	59	Win	123	128	0
116	8	66	Pop	14	128	1
116	9	77	Win	64	128	0
116	10	14	Pop	31	128	1
116	11	88	Win	64	128	0
116	12	66	Win	99	128	0
116	13	59	Pop	27	128	1
116	14	60	Pop	37	128	1
116	15	59	Pop	42	128	1
116	16	67	Win	119	128	0
116	17	66	Win	64	128	0
116	18	66	Win	94	128	0
116	19	60	Win	76	128	0
116	20	69	Pop	13	128	1
116	21	59	Pop	64	128	1
116	22	76	Win	110	128	0
116	23	66	Pop	35	128	1
116	24	127	Win	85	128	0
116	25	66	Pop	10	128	1
116	26	69	Win	64	128	0
116	27	68	Win	89	128	0
116	28	67	Pop	18	128	1
116	29	68	Win	117	128	0
116	30	68	Pop	57	128	1
117	1	90	Win	68	128	0
117	2	54	Win	104	128	0
117	3	88	Pop	36	128	1
117	4	66	Win	93	128	0
117	5	76	Win	83	128	0
117	6	100	Pop	20	128	1
117	7	44	Win	123	128	0
117	8	128	Win	14	128	0
117	9	33	Pop	64	128	1
117	10	63	Pop	31	128	1
117	11	45	Pop	64	128	1
117	12	51	Win	99	128	0
117	13	39	Pop	27	128	1
117	14	64	Pop	37	128	1
117	15	64	Pop	42	128	1
117	16	36	Win	119	128	0
117	17	22	Pop	64	128	1
117	18	32	Pop	94	128	1
117	19	42	Pop	76	128	1
117	20	61	Pop	13	128	1
117	21	55	Pop	64	128	1
117	22	44	Win	110	128	0
117	23	77	Pop	35	128	1
117	24	75	Win	85	128	0
117	25	60	Pop	10	128	1
117	26	53	Pop	64	128	1
117	27	29	Pop	89	128	1
117	28	39	Pop	18	128	1
117	29	47	Win	117	128	0
117	30	51	Pop	57	128	1
118	1	90	Win	68	128	0
118	2	88	Win	104	128	0
118	3	69	Pop	36	128	1
118	4	100	Win	93	128	0
118	5	78	Win	83	128	0
118	6	80	Pop	20	128	1
118	7	92	Win	123	128	0
118	8	76	Pop	14	128	1
118	9	77	Win	64	128	0
118	10	79	Pop	31	128	1
118	11	91	Win	64	128	0
118	12	85	Win	99	128	0
118	13	78	Pop	27	128	1
118	14	90	Pop	37	128	1
118	15	99	Win	42	128	0
118	16	86	Win	119	128	0
118	17	83	Win	64	128	0
118	18	89	Win	94	128	0
118	19	74	Win	76	128	0
118	20	69	Pop	13	128	1
118	21	79	Win	64	128	0
118	22	69	Win	110	128	0
118	23	72	Pop	35	128	1
118	24	93	Win	85	128	0
118	25	88	Pop	10	128	1
118	26	103	Win	64	128	0
118	27	94	Win	89	128	0
118	28	89	Pop	18	128	1
118	29	99	Win	117	128	0
118	30	72	Win	57	128	0
119	1	55	Pop	68	128	1
119	2	75	Win	104	128	0
119	3	55	Pop	36	128	1
119	4	55	Win	93	128	0
119	5	43	Pop	83	128	1
119	6	55	Pop	20	128	1
119	7	65	Win	123	128	0
119	8	43	Pop	14	128	1
119	9	65	Win	64	128	0
119	10	65	Pop	31	128	1
119	11	54	Pop	64	128	1
119	12	64	Win	99	128	0
119	13	41	Pop	27	128	1
119	14	41	Pop	37	128	1
119	15	41	Pop	42	128	1
119	16	87	Win	119	128	0
119	17	41	Pop	64	128	1
119	18	54	Win	94	128	0
119	19	75	Win	76	128	0
119	20	41	Pop	13	128	1
119	21	75	Win	64	128	0
119	22	41	Win	110	128	0
119	23	75	Pop	35	128	1
119	24	41	Pop	85	128	1
119	25	65	Pop	10	128	1
119	26	25	Pop	64	128	1
119	27	25	Pop	89	128	1
119	28	41	Pop	18	128	1
119	29	41	Win	117	128	0
119	30	80	Win	57	128	0
